CustomerID,Age,Gender,Education_Level,Annual_Income,Credit_Score,City_Category,Satisfaction_Level,Employment_Status,Experience_Years,Product_Preference,Subscription_Plan,Distance_from_Store,Number_of_Purchases,Target_Buy
CUST_0001,56,Non-binary,Master,48747.730343426876,595,Tier 1,Very Satisfied,Unemployed,38,Fashion,Basic,5.918325155087222,10,No
CUST_0002,69,Non-binary,Bachelor,105564.97406362496,535,Tier 2,Neutral,Employed,40,Electronics,Basic,5.183805734027732,9,Yes
CUST_0003,46,Non-binary,Bachelor,34241.05220964001,355,Tier 3,Dissatisfied,Self-Employed,25,Electronics,Basic,5.813713917423621,6,Yes
CUST_0004,32,Male,PhD,20000.0,659,Tier 2,Neutral,Unemployed,12,Electronics,Basic,2.3302767920988026,12,Yes
CUST_0005,60,Non-binary,High School,79253.37839171063,409,Tier 2,Very Dissatisfied,Employed,39,Fashion,Premium,1.5218210611677605,17,Yes
CUST_0006,25,Male,Bachelor,107274.35738593402,491,Tier 3,Satisfied,Unemployed,6,Home,Standard,7.129779493673243,7,No
CUST_0007,38,Female,Master,65958.42130519605,392,Tier 1,Dissatisfied,Unemployed,16,Home,Standard,7.428306483427144,12,Yes
CUST_0008,56,Non-binary,High School,65774.6478943992,359,Tier 2,Very Satisfied,Unemployed,38,Electronics,Basic,3.040505428726979,17,Yes
CUST_0009,36,Male,Bachelor,53802.358527124976,338,Tier 3,Very Dissatisfied,Unemployed,16,Fashion,Basic,4.732513828504309,6,No
CUST_0010,40,Male,PhD,24114.855389798802,839,Tier 3,Dissatisfied,Unemployed,18,Electronics,Basic,2.338189462897689,9,No
CUST_0011,28,Non-binary,High School,30985.76164513047,348,Tier 2,Very Dissatisfied,Unemployed,9,Groceries,Basic,6.0524231368269,12,No
CUST_0012,28,Female,Master,53664.93341202963,719,Tier 1,Very Satisfied,Unemployed,7,Home,Premium,9.030963545026186,9,Yes
CUST_0013,41,Female,Bachelor,49830.89319940513,312,Tier 2,Dissatisfied,Self-Employed,23,Beauty,Basic,5.827500272978373,11,No
CUST_0014,53,Female,Bachelor,57696.54144460116,335,Tier 1,Very Satisfied,Student,33,Electronics,Standard,3.593172469389689,9,Yes
CUST_0015,57,Male,Bachelor,76586.49647856317,400,Tier 1,Neutral,Self-Employed,35,Groceries,Basic,3.0685198118819934,11,No
CUST_0016,41,Male,High School,48363.24336165958,385,Tier 1,Very Satisfied,Unemployed,19,Home,Standard,5.140577856282879,16,Yes
CUST_0017,20,Male,PhD,76994.33512809222,815,Tier 1,Neutral,Unemployed,2,Fashion,Premium,5.694217469964156,12,No
CUST_0018,39,Male,PhD,48494.2058019446,522,Tier 2,Dissatisfied,Self-Employed,18,Home,Standard,4.090485424532705,11,Yes
CUST_0019,19,Female,Bachelor,80764.79185731514,637,Tier 3,Neutral,Self-Employed,0,Fashion,Standard,4.903376659056277,8,Yes
CUST_0020,41,Non-binary,Master,61727.35134146847,465,Tier 3,Dissatisfied,Student,20,Fashion,Premium,0.5078866408040855,7,Yes
CUST_0021,61,Male,Bachelor,51283.39318156976,682,Tier 3,Dissatisfied,Self-Employed,40,Electronics,Standard,15.158405404968855,11,Yes
CUST_0022,47,Male,Bachelor,61385.881210977794,675,Tier 3,Satisfied,Student,26,Electronics,Basic,7.821678983144736,5,Yes
CUST_0023,55,Female,Bachelor,54129.22315684867,770,Tier 3,Dissatisfied,Unemployed,37,Home,Basic,2.3414484520462873,12,No
CUST_0024,19,Non-binary,Bachelor,62262.68475359943,330,Tier 3,Neutral,Employed,1,Groceries,Standard,4.136966839559722,10,Yes
CUST_0025,38,Non-binary,Bachelor,75162.12397034944,674,Tier 2,Satisfied,Employed,19,Home,Standard,0.24240484309272878,8,No
CUST_0026,50,Female,Master,58255.688031687,310,Tier 1,Satisfied,Employed,29,Beauty,Basic,0.21050893009920718,10,Yes
CUST_0027,29,Female,Bachelor,52608.622942924376,601,Tier 3,Dissatisfied,Employed,11,Fashion,Basic,1.443735430967936,6,Yes
CUST_0028,39,Non-binary,High School,37529.67590178341,395,Tier 2,Very Satisfied,Unemployed,20,Fashion,Premium,5.851105001850577,12,No
CUST_0029,61,Male,High School,71583.5603858343,489,Tier 3,Very Satisfied,Employed,40,Electronics,Basic,9.557708998966628,7,No
CUST_0030,42,Non-binary,Bachelor,66965.4445280545,752,Tier 3,Satisfied,Self-Employed,21,Groceries,Basic,4.095659944714381,8,Yes
CUST_0031,66,Female,Master,36361.14298144958,491,Tier 1,Dissatisfied,Self-Employed,40,Electronics,Basic,3.7978532744087956,10,Yes
CUST_0032,44,Male,Bachelor,76709.88555841522,785,Tier 1,Very Satisfied,Employed,23,Beauty,Premium,2.573411370381548,11,Yes
CUST_0033,59,Male,Bachelor,36036.319347953286,565,Tier 1,Dissatisfied,Self-Employed,39,Home,Basic,0.8812876369558097,15,Yes
CUST_0034,45,Female,Bachelor,80584.43582467787,723,Tier 3,Dissatisfied,Student,26,Home,Standard,0.6298238950757586,8,Yes
CUST_0035,33,Female,Bachelor,73757.26654374035,427,Tier 3,Satisfied,Unemployed,15,Groceries,Basic,7.149763563606167,13,No
CUST_0036,32,Female,Bachelor,68393.31045196138,537,Tier 3,Satisfied,Employed,10,Electronics,Standard,13.121088508611383,4,Yes
CUST_0037,64,Non-binary,Bachelor,52460.09681665928,654,Tier 1,Very Dissatisfied,Employed,40,Electronics,Premium,3.0650597678594,11,Yes
CUST_0038,68,Non-binary,Master,71515.59565332906,411,Tier 2,Very Satisfied,Unemployed,40,Beauty,Basic,5.385902867570937,8,No
CUST_0039,61,Male,Master,81527.43990482361,745,Tier 3,Very Satisfied,Self-Employed,40,Home,Standard,12.29371857165785,9,No
CUST_0040,69,Female,Bachelor,71847.03842216346,642,Tier 3,Very Satisfied,Unemployed,40,Electronics,Basic,0.47217779312260505,8,Yes
CUST_0041,20,Male,High School,46594.99956547525,444,Tier 3,Neutral,Unemployed,0,Groceries,Basic,7.3588571922533506,10,No
CUST_0042,54,Male,High School,65348.13964710928,364,Tier 2,Dissatisfied,Self-Employed,35,Home,Premium,4.796211476895343,10,Yes
CUST_0043,68,Male,High School,82640.69972590072,546,Tier 3,Satisfied,Unemployed,40,Beauty,Basic,4.564447349020934,7,No
